"Últ Atualização","Região Covid","Município","Cód IBGE","Município","Leitos","Pacientes","Taxa Ocupação","Confirmados","Suspeitos"
"07/05/2020 09:01","Porto Alegre - R09 R10","Dom Feliciano","6953689","Asdomf","0","0","-","0","0"
"08/05/2020 16:34","Uruguaiana - R03","Quarai","2248247","Fundacao Hospitalar De Caridade De Quarai","0","0","-","0","0"
"09/05/2020 17:36","Palmeira Das Missoes - R15 R20","Constantina","3378691","Hospital Da Comunidade Ahcros Constantina","0","0","-","0","0"
"10/05/2020 08:56","Caxias Do Sul - R23 R24 R25 R26","Caxias Do Sul","2223562","Hospital Virvi Ramos","10","5","50%","1","0"
"10/05/2020 12:30","Bage - R22","Dom Pedrito","2262002","Hospital Sao Luiz","10","0","0%","0","0"
"10/05/2020 14:38","Pelotas - R21","Jaguarao","2233401","Santa Casa De Caridade Jaguarao","0","0","-","0","0"
"10/05/2020 15:30","Erechim - R16","Gaurama","2249545","Hospital Santa Isabel","0","0","-","0","0"
"10/05/2020 15:47","Uruguaiana - R03","Sant'ana Do Livramento","5395194","Prontomed Cti Centro De Tratamento Intensivo Ltda","6","6","100%","0","0"
"10/05/2020 16:03","Pelotas - R21","Santa Vitoria Do Palmar","2233398","Irmandade S Casa De Misericordia De S V Palmar","0","0","-","0","0"
"10/05/2020 16:37","Passo Fundo - R17 R18 R19","Marau","2246953","Hospital Cristo Redentor Marau","0","0","-","0","0"
"10/05/2020 17:14","Erechim - R16","Marcelino Ramos","2249618","Associacao Hospitalar Marcelinense","0","0","-","0","0"
"10/05/2020 17:42","Cruz Alta - R12","Cruz Alta","2263823","Hospital Santa Lucia Ltda","12","4","33.3%","0","0"
"10/05/2020 17:56","Taquara - R06","Sao Francisco De Paula","2227770","Hospital Sao Francisco De Paula","0","0","-","0","0"
"10/05/2020 18:49","Santa Maria - R01 R02","Julio De Castilhos","2244098","Hospital Bernardina Salles De Barros","0","0","-","0","0"
"10/05/2020 20:06","Palmeira Das Missoes - R15 R20","Frederico Westphalen","2228602","Hospital Divina Providencia Fredwest","10","4","40%","2","0"
"10/05/2020 21:21","Capao Da Canoa - R04 R05","Torres","2707950","Hospital Beneficente Nossa Senhora Dos Navegantes","5","6","120%","1","1"
"10/05/2020 21:49","Palmeira Das Missoes - R15 R20","Palmeira Das Missoes","2235323","Hospital De Caridade Palmeira Das Missoes","0","0","-","0","0"
"10/05/2020 22:25","Palmeira Das Missoes - R15 R20","Rodeio Bonito","2228734","Hospital Sao Jose Rodeio Bonito","0","0","-","0","0"
"10/05/2020 22:58","Santa Maria - R01 R02","Santa Maria","5922216","Hospital Casa De Saude","0","0","-","0","0"
"10/05/2020 23:36","Santa Rosa - R14","Girua","2260069","Hospital Sao Jose","0","0","-","0","0"
"10/05/2020 23:55","Bage - R22","Lavras Do Sul","2262029","Fundacao Medico Hospitalar","0","0","-","0","0"
"11/05/2020 06:38","Lajeado - R29 R30","Progresso","2252082","Hospital Santa Isabel Progresso","0","0","-","0","0"
"11/05/2020 07:07","Ijui - R13","Augusto Pestana","2261081","Hospital Sao Francisco","0","0","-","0","0"
"11/05/2020 07:07","Santa Cruz Do Sul - R28","Vera Cruz","2236354","Hospital Vera Cruz","0","0","-","0","0"
"11/05/2020 07:08","Ijui - R13","Crissiumal","2708000","Hospital De Caridade De Crissiumal","0","0","-","0","0"
"11/05/2020 07:09","Lajeado - R29 R30","Marques De Souza","2252007","Hospital Marques De Souza","0","0","-","0","0"
"11/05/2020 07:10","Erechim - R16","Aratiba","2249502","Acha Aratiba","0","0","-","0","0"
"11/05/2020 07:30","Erechim - R16","Campinas Do Sul","2249529","Hospital Municipal De Campinas Do Sul","0","0","-","0","0"
"11/05/2020 07:34","Ijui - R13","Panambi","2254956","Hospital Panambi","0","0","-","0","0"
"11/05/2020 07:35","Taquara - R06","Igrejinha","2227665","Hospital Bom Pastor","0","0","-","0","0"
"11/05/2020 07:38","Erechim - R16","Getulio Vargas","2249510","Hospital Sao Roque De Getulio Vargas","0","0","-","0","0"
"11/05/2020 07:39","Ijui - R13","Ijui","2261030","Hospital Bom Pastor Ijui","0","0","-","0","0"
"11/05/2020 07:40","Lajeado - R29 R30","Arroio Do Meio","2252198","Hospital Sao Jose Arroio Do Meio","0","0","-","0","0"
"11/05/2020 07:43","Lajeado - R29 R30","Estrela","2252260","Hospital Estrela","10","9","90%","2","2"
"11/05/2020 07:48","Palmeira Das Missoes - R15 R20","Jaboticaba","2235315","Hospital Santa Rita D Jaboticaba","0","0","-","0","0"
"11/05/2020 07:55","Santa Rosa - R14","Tuparendi","5729297","Cams","0","0","-","0","0"
"11/05/2020 07:58","Santo Angelo - R11","Caibate","2259850","Hospital Roque Gonzales Caibate","0","0","-","0","0"
"11/05/2020 08:00","Erechim - R16","Erechim","9142118","Santa Monica Hospital","0","0","-","0","0"
"11/05/2020 08:02","Novo Hamburgo - R07","Campo Bom","2232073","Hospital De Campo Bom Dr Lauro Reus","10","8","80%","0","1"
"11/05/2020 08:06","Uruguaiana - R03","Alegrete","2248328","Santa Casa De Alegrete","8","7","87.5%","0","0"
"11/05/2020 08:06","Santa Maria - R01 R02","Restinga Seca","2244233","Hospital De Caridade Sao Francisco","0","0","-","0","0"
"11/05/2020 08:07","Santa Rosa - R14","Boa Vista Do Burica","2250705","Hospital De Caridade Boa Vista","0","0","-","0","0"
"11/05/2020 08:10","Pelotas - R21","Sao Lourenco Do Sul","2233312","Santa Casa De Miseric S Lourenco Do Sul","0","0","-","0","0"
"11/05/2020 08:13","Santa Maria - R01 R02","Sao Joao Do Polesine","6364810","Hospital Dr Roberto Binatto","0","0","-","0","0"
"11/05/2020 08:14","Novo Hamburgo - R07","Dois Irmaos","6844138","Hospital Sao Jose De Dois Irmaos Ibsaude","0","0","-","0","0"
"11/05/2020 08:15","Santa Maria - R01 R02","Jaguari","2244152","Irdesi De Jaguari","0","0","-","0","0"
"11/05/2020 08:17","Santo Angelo - R11","Sao Borja","2248298","Hospital Infantil","9","6","66.7%","0","0"
"11/05/2020 08:18","Porto Alegre - R09 R10","Guaiba","6131913","Hospital Unimed","0","0","-","0","0"
