"Últ Atualização","Região Covid","Município","Cód IBGE","Município","Leitos","Pacientes","Taxa Ocupação","Confirmados","Suspeitos"
"30/04/2020 16:10","Santa Maria - R01 R02","Ivora","2244179","Hospital De Ivora","0","0","-","0","0"
"13/04/2020 10:40","Santa Rosa - R14","Horizontina","2250772","Hospital Oswaldo Cruz","0","0","-","0","0"
"07/05/2020 20:56","Taquara - R06","Tres Coroas","2257467","Hospital Dr Oswaldo Diesel","0","0","-","0","0"
"07/05/2020 20:56","Caxias Do Sul - R23 R24 R25 R26","Nova Petropolis","2241102","Hospital Nova Petropolis","0","0","-","0","0"
"07/05/2020 20:54","Caxias Do Sul - R23 R24 R25 R26","Antonio Prado","2241072","Hospital Sao Jose","0","0","-","0","0"
"07/05/2020 20:46","Palmeira Das Missoes - R15 R20","Seberi","2228610","Hospital Pio Xii Seberi","0","0","-","0","0"
"07/05/2020 20:39","Pelotas - R21","Sao Jose Do Norte","2233355","Hospital Municipal Sao Jose Do Norte","0","0","-","0","0"
"07/05/2020 20:35","Pelotas - R21","Pelotas","2252341","Hospital Miguel Piltcher","6","1","16.7%","0","0"
"07/05/2020 20:12","Lajeado - R29 R30","Anta Gorda","9309470","Hospital Padre Catelli","0","0","-","0","0"
"07/05/2020 20:11","Lajeado - R29 R30","Putinga","2252171","Hospital Doutor Oscar Benevolo","0","0","-","0","0"
"07/05/2020 20:07","Cruz Alta - R12","Salto Do Jacui","2263882","Hospital Municipal Dr Aderbal Schneider","0","0","-","0","0"
"07/05/2020 19:52","Porto Alegre - R09 R10","Camaqua","2257548","Hospital Nossa Senhora Aparecida De Camaqua","0","0","-","0","0"
"07/05/2020 19:49","Santa Cruz Do Sul - R28","Santa Cruz Do Sul","2254964","Hospital Santa Cruz","10","8","80%","1","0"
"07/05/2020 19:43","Palmeira Das Missoes - R15 R20","Tenente Portela","5384117","Hospital Santo Antonio Tenente Portela","10","9","90%","0","1"
"07/05/2020 19:40","Santa Maria - R01 R02","Julio De Castilhos","2244098","Hospital Bernardina Salles De Barros","0","0","-","0","0"
"07/05/2020 19:35","Caxias Do Sul - R23 R24 R25 R26","Bom Principio","2241129","Hospital Sao Pedro Canisio","0","0","-","0","0"
"07/05/2020 19:14","Canoas - R08","Montenegro","2257556","Hospital Montenegro","10","10","100%","0","0"
"07/05/2020 19:11","Canoas - R08","Canoas","3508528","Hospital Universitario","40","24","60%","3","3"
"07/05/2020 19:08","Lajeado - R29 R30","Progresso","2252082","Hospital Santa Isabel Progresso","0","0","-","0","0"
"07/05/2020 18:51","Caxias Do Sul - R23 R24 R25 R26","Veranopolis","2707977","Hospital Comunitario Sao Peregrino Lazziozi","0","0","-","0","0"
"07/05/2020 18:51","Passo Fundo - R17 R18 R19","Maximiliano De Almeida","2247038","Hospital Sao Jose Maximiliano De Almeida","0","0","-","0","0"
"07/05/2020 18:49","Passo Fundo - R17 R18 R19","Carazinho","2262274","Hospital Comunitario De Carazinho","7","7","100%","0","0"
