"Últ Atualização","Região Covid","Município","Cód IBGE","Município","Leitos","Pacientes","Taxa Ocupação","Confirmados","Suspeitos"
"06/05/2020 08:14","Porto Alegre - R09 R10","Porto Alegre","2237156","Hbmpa","20","2","10%","0","0"
"06/05/2020 10:41","Porto Alegre - R09 R10","Porto Alegre","9570047","Hospital Bdw","2","0","0%","0","0"
"06/05/2020 13:41","Taquara - R06","Cambara Do Sul","5602742","Fundacao Hospitalar Sao Jose","0","0","-","0","0"
"06/05/2020 15:42","Caxias Do Sul - R23 R24 R25 R26","Sao Marcos","3228630","Hospital Dr Stich","0","0","-","0","0"
"07/05/2020 09:01","Porto Alegre - R09 R10","Dom Feliciano","6953689","Asdomf","0","0","-","0","0"
"07/05/2020 09:14","Santa Maria - R01 R02","Formigueiro","2244217","Hospital Municipal Pedro Calil","0","0","-","0","0"
"07/05/2020 09:19","Uruguaiana - R03","Alegrete","2248328","Santa Casa De Alegrete","8","6","75%","0","0"
"07/05/2020 12:23","Santa Maria - R01 R02","Mata","2244187","Hospital De Mata","0","0","-","0","0"
"07/05/2020 17:38","Lajeado - R29 R30","Taquari","9563873","Hospital Sao Jose","0","0","-","0","0"
"08/05/2020 07:44","Taquara - R06","Igrejinha","2227665","Hospital Bom Pastor","0","0","-","0","0"
"08/05/2020 07:45","Erechim - R16","Campinas Do Sul","2249529","Hospital Municipal De Campinas Do Sul","0","0","-","0","0"
"08/05/2020 08:07","Santo Angelo - R11","Porto Xavier","2259982","Hospital De Porto Xavier","0","0","-","0","0"
"08/05/2020 08:49","Lajeado - R29 R30","Marques De Souza","2252007","Hospital Marques De Souza","0","0","-","0","0"
"08/05/2020 08:54","Novo Hamburgo - R07","Dois Irmaos","6844138","Hospital Sao Jose De Dois Irmaos Ibsaude","0","0","-","0","0"
"08/05/2020 09:13","Erechim - R16","Erechim","2249669","Hospital Unimed Erechim","0","0","-","0","0"
"08/05/2020 09:34","Lajeado - R29 R30","Ilopolis","2252139","Hospital Beneficente Leonilda Brunet","0","0","-","0","0"
"08/05/2020 10:33","Santa Rosa - R14","Santa Rosa","3017060","Hospital Vida Saude","10","5","50%","2","3"
"08/05/2020 10:33","Erechim - R16","Estacao","2249626","Hospital Santo Antonio Estacao","0","0","-","0","0"
"08/05/2020 10:41","Cruz Alta - R12","Fortaleza Dos Valos","2263866","Hospital Municipal Bom Pastor","0","0","-","0","0"
"08/05/2020 10:52","Caxias Do Sul - R23 R24 R25 R26","Parai","2241218","Hospital Beneficente Nossa Senhora Aparecida","0","0","-","0","0"
"08/05/2020 11:21","Palmeira Das Missoes - R15 R20","Ronda Alta","2235420","Associacao Hospitalar De Ronda Alta","0","0","-","0","0"
"08/05/2020 12:01","Lajeado - R29 R30","Roca Sales","2252147","Sociedade Beneficente Roque Gonzales","0","0","-","0","0"
"08/05/2020 12:14","Santa Maria - R01 R02","Nova Palma","2244128","Hospital Nossa Senhora Da Piedade","0","0","-","0","0"
"08/05/2020 13:33","Palmeira Das Missoes - R15 R20","Chapada","2235307","Hospital Sao Jose Chapada","0","0","-","0","0"
"08/05/2020 13:53","Cruz Alta - R12","Selbach","2238810","Hospital Sao Jacob","0","0","-","0","0"
"08/05/2020 14:04","Santa Maria - R01 R02","Sao Pedro Do Sul","2244314","Hospital Municipal De Sao Pedro Do Sul","0","0","-","0","0"
"08/05/2020 14:49","Cachoeira Do Sul - R27","Sobradinho","2234408","Hospital Dr Homero Menezes","0","0","-","0","0"
"08/05/2020 14:51","Cachoeira Do Sul - R27","Sobradinho","6560830","Fundacao Dr Homero Lima Menezes","0","0","-","0","0"
"08/05/2020 14:54","Porto Alegre - R09 R10","Alvorada","2232081","Hospital Alvorada","0","0","-","0","0"
"08/05/2020 15:20","Pelotas - R21","Pedro Osorio","2233339","Santa Casa De Misericordia De Pedro Osorio","0","0","-","0","0"
"08/05/2020 15:50","Passo Fundo - R17 R18 R19","Marau","9131981","Hospital Sao Lucas","0","0","-","0","0"
"08/05/2020 16:34","Uruguaiana - R03","Quarai","2248247","Fundacao Hospitalar De Caridade De Quarai","0","0","-","0","0"
"08/05/2020 17:55","Capao Da Canoa - R04 R05","Osorio","2257815","Hospital Sao Vicente De Paulo","10","4","40%","2","1"
"08/05/2020 21:30","Porto Alegre - R09 R10","Porto Alegre","2237261","Hospital Beneficencia Portuguesa","10","0","0%","0","0"
"09/05/2020 08:07","Erechim - R16","Getulio Vargas","2249510","Hospital Sao Roque De Getulio Vargas","0","0","-","0","0"
"09/05/2020 08:14","Santa Cruz Do Sul - R28","Vera Cruz","2236354","Hospital Vera Cruz","0","0","-","0","0"
"09/05/2020 08:21","Ijui - R13","Augusto Pestana","2261081","Hospital Sao Francisco","0","0","-","0","0"
"09/05/2020 08:42","Santo Angelo - R11","Caibate","2259850","Hospital Roque Gonzales Caibate","0","0","-","0","0"
"09/05/2020 09:12","Santa Maria - R01 R02","Pinhal Grande","2244209","Casa De Saude Sao Jose","0","0","-","0","0"
"09/05/2020 09:42","Palmeira Das Missoes - R15 R20","Ametista Do Sul","2228629","Hospital Sao Gabriel Ametista Do Sul","0","0","-","0","0"
"09/05/2020 09:46","Porto Alegre - R09 R10","Butia","2265958","Hospital De Butia","0","0","-","0","0"
"09/05/2020 10:18","Pelotas - R21","Cangucu","2232928","Hospital De Caridade De Cangucu","0","0","-","0","0"
"09/05/2020 10:37","Santa Maria - R01 R02","Jaguari","2244152","Irdesi De Jaguari","0","0","-","0","0"
"09/05/2020 10:43","Passo Fundo - R17 R18 R19","Nao-me-toque","2246910","Hospital Alto Jacui Nao Me Toque","0","0","-","0","0"
"09/05/2020 11:00","Novo Hamburgo - R07","Portao","2232170","Hospital De Portao","0","0","-","0","0"
"09/05/2020 11:18","Canoas - R08","Montenegro","2257556","Hospital Montenegro","10","10","100%","0","0"
"09/05/2020 11:24","Cruz Alta - R12","Quinze De Novembro","2263831","Associacao Hospitalar 15 De Novembro","0","0","-","0","0"
"09/05/2020 11:25","Santa Cruz Do Sul - R28","Sinimbu","2236346","Hospital Sinimbu","0","0","-","0","0"
"09/05/2020 11:33","Passo Fundo - R17 R18 R19","Soledade","2246961","Hospital Frei Clemente Soledade","6","0","0%","0","0"
"09/05/2020 11:45","Palmeira Das Missoes - R15 R20","Coronel Bicaco","2235382","Assoc Hosp Santo Antonio De Padua","0","0","-","0","0"
"09/05/2020 11:56","Erechim - R16","Erechim","9142118","Santa Monica Hospital","0","0","-","0","0"
"09/05/2020 12:03","Caxias Do Sul - R23 R24 R25 R26","Canela","2235609","Hospital De Canela","0","0","-","0","0"
"09/05/2020 12:09","Uruguaiana - R03","Itaqui","2248271","Hospital Sao Patricio De Itaqui","0","0","-","0","0"
"09/05/2020 12:23","Pelotas - R21","Sao Lourenco Do Sul","2233312","Santa Casa De Miseric S Lourenco Do Sul","0","0","-","0","0"
"09/05/2020 12:37","Santa Maria - R01 R02","Restinga Seca","2244233","Hospital De Caridade Sao Francisco","0","0","-","0","0"
