"Últ Atualização","Cód","Hospital","Leitos","Pacientes","Taxa Ocupação","Confirmados","Suspeitos"
"01/05/2020 08:28","2252007","HOSPITAL MARQUES DE SOUZA","0","0","-","0","0"
"01/05/2020 09:52","2235323","HOSPITAL DE CARIDADE PALMEIRA DAS MISSOES","0","0","-","0","0"
"01/05/2020 10:06","9142118","SANTA MONICA HOSPITAL","0","0","-","0","0"
"01/05/2020 11:09","2246805","HOSPITAL SAO JOSE SERTAO","0","0","-","0","0"
"01/05/2020 11:36","2235307","HOSPITAL SAO JOSE CHAPADA","0","0","-","0","0"
"01/05/2020 11:45","2244314","HOSPITAL MUNICIPAL DE SAO PEDRO DO SUL","0","0","-","0","0"
"01/05/2020 13:04","2249537","HOSPITAL N S DA POMPEIA VIADUTOS","0","0","-","0","0"
"01/05/2020 13:17","2228556","HOSPITAL MEDIANEIRA PLANALTO","0","0","-","0","0"
"01/05/2020 13:22","2244225","HOSPITAL DE CARIDADE BRASILINA TERRA","0","0","-","0","0"
"01/05/2020 13:38","2262002","HOSPITAL SAO LUIZ","10","0","0%","0","0"
"01/05/2020 15:57","2233320","HOSPITAL PINHEIRO MACHADO","0","0","-","0","0"
"01/05/2020 16:00","2228688","HOSPITAL COMUNITARIO NONOAI","0","0","-","0","0"
"01/05/2020 16:13","2265885","HOSPITAL AJURICABA","0","0","-","0","0"
"01/05/2020 17:15","2261103","HOSPITAL DE CHIAPETTA","0","0","-","0","0"
"01/05/2020 17:59","5602742","FUNDACAO HOSPITALAR SAO JOSE","0","0","-","0","0"
"01/05/2020 19:08","2233355","HOSPITAL MUNICIPAL SAO JOSE DO NORTE","0","0","-","0","0"
"01/05/2020 19:26","2241129","HOSPITAL SAO PEDRO CANISIO","0","0","-","0","0"
"01/05/2020 21:32","9016554","HOSPITAL SAO JOAO EVANGELISTA","0","0","-","0","0"
"01/05/2020 21:52","2246902","HOSPITAL NOTRE DAME JULIA BILLIART","0","0","-","0","0"
"01/05/2020 22:19","2246953","HOSPITAL CRISTO REDENTOR MARAU","0","0","-","0","0"
"01/05/2020 22:59","2263890","HOSPITAL SANTA BARBARA BENEFICENTE","0","0","-","0","0"
"02/05/2020 06:20","2252260","HOSPITAL ESTRELA","10","6","60%","2","1"
"02/05/2020 07:06","2244330","HOSPITAL SANTO ANTONIO","0","0","-","0","0"
"02/05/2020 07:12","2244098","HOSPITAL BERNARDINA SALLES DE BARROS","0","0","-","0","0"
"02/05/2020 07:36","2234424","HOSPITAL SANTA ROSA DE LIMA","0","0","-","0","0"
"02/05/2020 07:52","2227908","HOSPITAL SAGRADA FAMILIA","0","0","-","0","0"
"02/05/2020 07:54","6364810","HOSPITAL DR ROBERTO BINATTO","0","0","-","0","0"
"02/05/2020 07:57","3017060","HOSPITAL VIDA SAUDE","10","4","40%","1","4"
"02/05/2020 08:10","2707950","HOSPITAL BENEFICENTE NOSSA SENHORA DOS NAVEGANTES","5","5","100%","0","0"
"02/05/2020 08:13","2249502","ACHA ARATIBA","0","0","-","0","0"
"02/05/2020 08:19","2250675","HOSPITAL SANTO AFONSO","0","0","-","0","0"
"02/05/2020 08:19","5729297","CAMS","0","0","-","0","0"
"02/05/2020 08:21","2235315","HOSPITAL SANTA RITA D JABOTICABA","0","0","-","0","0"
"02/05/2020 08:27","2250705","HOSPITAL DE CARIDADE BOA VISTA","0","0","-","0","0"
"02/05/2020 08:32","2223562","HOSPITAL VIRVI RAMOS","10","10","100%","1","0"
"02/05/2020 08:36","2261081","HOSPITAL SAO FRANCISCO","0","0","-","0","0"
"02/05/2020 08:37","2241226","HOSPITAL BENEFICENTE SAO JOAO BOSCO","0","0","-","0","0"
"02/05/2020 08:50","2228629","HOSPITAL SAO GABRIEL AMETISTA DO SUL","0","0","-","0","0"
"02/05/2020 08:50","6131913","HOSPITAL UNIMED","0","0","-","0","0"
"02/05/2020 08:54","2248298","HOSPITAL INFANTIL","9","4","44.4%","0","1"
"02/05/2020 08:57","2248271","HOSPITAL SAO PATRICIO DE ITAQUI","0","0","-","0","0"
"02/05/2020 09:02","2260050","HOSPITAL NOSSA SENHORA DO ROSARIO","0","0","-","0","0"
"02/05/2020 09:03","2261138","HOSPITAL PEJUCARA","0","0","-","0","0"
"02/05/2020 09:08","2252198","HOSPITAL SAO JOSE ARROIO DO MEIO","0","0","-","0","0"
"02/05/2020 09:13","2244365","HOSPITAL DA BASE AEREA","0","0","-","0","0"
"02/05/2020 09:16","2244357","HOSPITAL DE CARIDADE DE SANTIAGO","10","10","100%","1","0"
"02/05/2020 09:23","3506959","HOSPITAL UNIMED","6","1","16.7%","0","0"
"02/05/2020 09:29","2250802","HOSPITAL CAMPINA","0","0","-","0","0"
"02/05/2020 09:32","3378691","HOSPITAL DA COMUNIDADE AHCROS CONSTANTINA","0","0","-","0","1"
"02/05/2020 09:35","2223570","HOSPITAL DO CIRCULO","18","6","33.3%","0","1"
"02/05/2020 09:37","2232081","HOSPITAL ALVORADA","0","0","-","0","0"
"02/05/2020 09:38","2232014","HOSPITAL NOSSA SENHORA DAS GRACAS","28","26","92.9%","0","0"
"02/05/2020 09:38","5050170","HOSPITAL DR OSVALDO TEIXEIRA","0","0","-","0","0"
"02/05/2020 09:45","2248204","SANTA CASA DE SAO GABRIEL","12","7","58.3%","0","0"
"02/05/2020 09:47","6389104","HOSPITAL DE SANTO ANTONIO DA PATRULHA","0","0","-","0","0"
"02/05/2020 09:48","2227703","HOSPITAL NOSSA SENHORA DO ROSARIO DE RIOZINHO","0","0","-","0","0"
"02/05/2020 09:49","9728317","HOSPITAL UNIMED UNIDADE MATERNO INFANTIL","0","0","-","0","0"
"02/05/2020 09:51","3356868","HOSPITAL UNIMED CAXIAS DO SUL","20","16","80%","4","1"
"02/05/2020 09:52","2223597","HOSPITAL SAUDE","10","5","50%","0","1"
"02/05/2020 09:56","2233401","SANTA CASA DE CARIDADE JAGUARAO","0","0","-","0","0"
"02/05/2020 09:56","2255928","HOSPITAL MONTE ALVERNE","0","0","-","0","0"
"02/05/2020 09:56","2228653","HOSPITAL N S AUXILIADORA IRAI","0","0","-","0","0"
"02/05/2020 10:03","2232103","HOSPITAL PADRE JEREMIAS","0","0","-","0","0"
"02/05/2020 10:04","2262029","FUNDACAO MEDICO HOSPITALAR","0","0","-","0","0"
"02/05/2020 10:06","2250810","HOSPITAL SAO JOSE PORTO LUCENA RS","0","0","-","0","0"
"02/05/2020 10:09","2261995","HOSPITAL UNIVERSITARIO URCAMP","0","0","-","0","0"
"02/05/2020 10:09","2249529","HOSPITAL MUNICIPAL DE CAMPINAS DO SUL","0","0","-","0","0"
"02/05/2020 10:12","2244292","HOSPITAL SAO FRANCISCO DE ASSIS","10","2","20%","0","0"
